"ts","username","platform","ms_played","conn_country","ip_addr_decrypted","user_agent_decrypted","master_metadata_track_name","master_metadata_album_artist_name","master_metadata_album_album_name","spotify_track_uri","episode_name","episode_show_name","spotify_episode_uri","reason_start","reason_end","shuffle","skipped","offline","offline_timestamp","incognito_mode"
"2016-07-13T16:06:13Z","1129081105","iOS 9.3.2 (iPhone6,2)",156000,"CH","178.197.232.159","unknown","Slim Pickens Does The Right Thing And Rides The Bomb To Hell","The Offspring","Days Go By","spotify:track:1pEb2guYfUPMjeRaZjJMTf",null,null,null,"trackdone","trackdone",true,null,false,0,false
"2015-04-03T21:16:49Z","1129081105","iOS 8.1.3 (iPhone6,2)",165372,"CH","178.197.234.125","unknown","Zombie","The Cranberries","No Need To Argue (The Complete Sessions 1994-1995)","spotify:track:6xy6jNeNTYwjnKTDzMyHw2",null,null,null,"clickrow","endplay",true,true,false,0,false
"2016-05-12T16:12:55Z","1129081105","iOS 9.3.1 (iPhone6,2)",8594,"CH","178.197.232.184","unknown","Heaven Nor Hell - Live At Forum, Copenhagen/2010","Volbeat","Live From Beyond Hell / Above Heaven","spotify:track:5PTkkQp7zoUFte2pkLDkZT",null,null,null,"trackdone","backbtn",true,null,false,0,false
"2022-07-11T18:12:32Z","1129081105","iOS 15.5 (iPhone13,1)",297786,"IT","79.18.148.155","unknown","Till I Collapse","Eminem","The Eminem Show","spotify:track:4xkOaSrkexMciUUogZKVTS",null,null,null,"clickrow","trackdone",true,null,false,1657562539941,false
"2014-09-27T10:28:59Z","1129081105","iOS 8.0 (iPhone5,2)",130359,"CH","178.197.236.214","unknown","With A Girl Like You","The Troggs","The EP Collection","spotify:track:7LEhzjSsOrfTU7DOY5P0rs",null,null,null,"trackdone","trackdone",true,false,false,0,false
"2019-10-17T09:15:09Z","1129081105","iOS 12.4.1 (iPhone9,3)",86054,"CH","178.197.235.92","unknown","Money For Nothing","Dire Straits","Brothers In Arms","spotify:track:31DvHUCSioX0JD7B4kZMJ9",null,null,null,"trackdone","endplay",false,null,false,1571303577787,false
"2017-09-29T16:45:24Z","1129081105","iOS 10.3.3 (iPhone7,2)",15804,"CH","178.197.236.74","unknown","W. Nuss vo Bümpliz","Patent Ochsner","Stella Nera","spotify:track:5JSFJTSPBsGraIbyM6WfwF",null,null,null,"trackdone","fwdbtn",false,null,false,1506703506321,false
"2021-02-16T14:55:02Z","1129081105","iOS 14.4 (iPhone9,3)",261386,"CH","178.197.233.174","unknown","Smokin'","Boston","Boston","spotify:track:5u5qlnyVaewWugJIjzilIc",null,null,null,"trackdone","trackdone",true,null,false,1613487039498,false
"2012-06-09T17:43:35Z","1129081105","iOS 5.1.1 (iPhone3,1)",56521,"CH","84.72.36.80",null,"First of the Year (Equinox)","Skrillex","More Monsters and Sprites EP","spotify:track:5i7fZq3chLyCHo3VeB6goD",null,null,null,"unknown","unknown",false,true,false,0,false
"2022-03-24T17:49:33Z","1129081105","iOS 15.3.1 (iPhone13,1)",1091,"CH","178.197.205.192","unknown","Ich, Roque","Sportfreunde Stiller","Burli","spotify:track:6o6T2PIXqLfQe7vewbcg7b",null,null,null,"fwdbtn","fwdbtn",false,null,false,1648144171431,false
"2012-06-15T23:28:40Z","1129081105","iOS 5.1.1 (iPhone3,1)",345133,"CH","178.197.233.67",null,"Reisen","Peach Weber","Tüppisch...!","spotify:track:0wkZtbfG9IMPbHfTQme6vC",null,null,null,"trackdone","trackdone",false,false,false,0,false
"2017-06-30T17:43:10Z","1129081105","iOS 10.3.2 (iPhone7,2)",198247,"CH","178.197.224.75","unknown","Follower","CRIMER","Preach","spotify:track:3LdGd1rJtTzKSAwlyOx6bk",null,null,null,"trackdone","trackdone",false,null,false,1498844391212,false
"2014-07-15T17:16:36Z","1129081105","iOS 7.1.1 (iPhone5,2)",5712,"CH","178.197.236.220","unknown","Party All Day","Steel Panther","Feel The Steel","spotify:track:6V6C6S1Rm7B7j1rH2Xe2M1",null,null,null,"","clickrow",false,true,false,0,false
"2015-09-06T08:21:04Z","1129081105","OS X 10.10.4 [x86 8]",227999,"CH","178.193.13.83","unknown","J'adore Hardcore","Scooter","20 Years of Hardcore","spotify:track:3l4JefqadTaHmE04EiCbWE",null,null,null,"trackdone","trackdone",true,false,false,0,false
"2015-04-03T18:50:04Z","1129081105","iOS 8.1.3 (iPhone6,2)",293826,"CH","178.197.234.125","unknown","Billie Jean","Michael Jackson","Thriller 25 Super Deluxe Edition","spotify:track:5ChkMS8OtdzJeqyybCc9R5",null,null,null,"trackdone","trackdone",false,false,false,0,false
"2018-02-10T20:11:06Z","1129081105","iOS 11.2.5 (iPhone8,1)",248300,"CH","188.60.87.202","unknown","Army of One","Coldplay","A Head Full of Dreams","spotify:track:4giCxIFPZNQIP4bIZM4sqH",null,null,null,"trackdone","unexpected-exit-while-paused",false,null,false,1518034225037,false
"2016-08-20T19:07:45Z","1129081105","iOS 9.3.2 (iPhone6,2)",36936,"CH","178.197.233.254","unknown","Fickt euch","MiZeb","Karma","spotify:track:4qzvU4p6uLtTkdcMjQHHAX",null,null,null,"trackdone","endplay",true,null,false,0,false
"2014-07-28T17:12:15Z","1129081105","iOS 7.1.1 (iPhone5,2)",2461,"CH","92.104.125.217","unknown","Sweat - Remix","Snoop Dogg","Sweat (Snoop Dogg Vs. David Guetta)","spotify:track:0R7YVi7w41Dr9jU5vblAok",null,null,null,"fwdbtn","fwdbtn",true,true,false,0,false
"2013-11-10T18:12:31Z","1129081105","iOS 7.0.3 (iPhone5,2)",258431,"CH","178.197.236.94","unknown","Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis","The Heist","spotify:track:3BE0getU08uXas8ZjULABA",null,null,null,"","trackdone",false,false,false,0,false
"2016-12-31T00:29:50Z","1129081105","iOS 10.2 (iPhone7,2)",241666,"CH","178.197.225.32","unknown","Teenage Dirtbag","Wheatus","Wheatus","spotify:track:25FTMokYEbEWHEdss5JLZS",null,null,null,"clickrow","trackdone",true,null,false,0,false
"2015-12-23T16:21:37Z","1129081105","iOS 9.1 (iPhone6,2)",235933,"CH","178.197.236.230","unknown","Crazy In Love (feat. Jay-Z)","Beyoncé","Dangerously In Love","spotify:track:0TwBtDAWpkpM3srywFVOV5",null,null,null,"trackdone","trackdone",true,false,false,0,false
"2017-01-21T15:02:37Z","1129081105","iOS 10.2 (iPhone7,2)",244453,"AL","178.132.216.73","unknown","Bombtrack - Demo","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)","spotify:track:1cGbiPXCsORy9n7CqGYgKI",null,null,null,"trackdone","trackdone",false,null,false,0,false
"2019-09-27T13:12:06Z","1129081105","iOS 12.4.1 (iPhone9,3)",20062,"CH","178.197.235.216","unknown","Galactic Love","Action Bronson","Mr. Wonderful","spotify:track:6l7mnrTeO2UQ8cqZjaJne8",null,null,null,"fwdbtn","endplay",true,null,false,1569589906002,false
"2019-11-25T14:36:53Z","1129081105","iOS 12.4.1 (iPhone9,3)",293653,"CH","178.197.224.92","unknown","Epic","Faith No More","The Real Thing","spotify:track:4ReyTz0y3TGkX48wO3Llot",null,null,null,"trackdone","trackdone",false,null,false,1574692319136,false
"2012-07-07T06:25:41Z","1129081105","iOS 5.1.1 (iPhone3,1)",143520,"CH","178.197.232.27","unknown","Cry, Cry, Cry","Johnny Cash","Johnny Cash's America","spotify:track:4nGHyStNL3AyP3SCIl4ayV",null,null,null,"trackdone","endplay",false,false,false,0,false
"2015-04-22T16:38:42Z","1129081105","iOS 8.1.3 (iPhone6,2)",217849,"CH","178.197.227.244","unknown","Call Me Mañana","Scooter","20 Years of Hardcore","spotify:track:2tjkrsxIGGJzJAnaUHYjtQ",null,null,null,"clickrow","endplay",true,true,false,0,false
"2019-12-26T16:37:24Z","1129081105","iOS 13.3 (iPhone9,3)",42190,"CH","178.197.229.11","unknown","Tommi - Live","AnnenMayKantereit","Tommi","spotify:track:3I0VJgR5SqecpV6rzmeazU",null,null,null,"fwdbtn","endplay",true,null,false,1577378202054,false
"2017-09-29T18:06:02Z","1129081105","iOS 10.3.3 (iPhone7,2)",206200,"CH","178.197.236.74","unknown","Guerrilla Radio","Rage Against The Machine","The Battle Of Los Angeles","spotify:track:1wsRitfRRtWyEapl0q22o8",null,null,null,"trackdone","trackdone",false,null,false,1506708154730,false
"2016-09-04T13:01:30Z","1129081105","iOS 9.3.2 (iPad4,4)",320763,"CH","85.2.169.245","unknown","Life Is Like A Dance - Extended Radio Mix","Paul Elstak","Gabber Top 100","spotify:track:78kEe9HGUYaqvdjfRdw0Mq",null,null,null,"trackdone","trackdone",true,null,true,1,false
"2017-09-10T13:55:34Z","1129081105","iOS 10.3.3 (iPhone7,2)",242493,"CH","178.197.228.222","unknown","Thieves! (Screamed the Ghost) [feat. Tunde Adebimpe]","Run The Jewels","Run the Jewels 3","spotify:track:6fd0hfSveLlNptY3I13UsT",null,null,null,"trackdone","trackdone",false,null,false,1505051490917,false
"2016-07-19T14:52:56Z","1129081105","iOS 9.3.2 (iPhone6,2)",16579,"CH","178.197.226.22","unknown","All I Have Left Is You","The Offspring","Days Go By","spotify:track:6MuerIzh7mtqtOFP44VpDi",null,null,null,"fwdbtn","endplay",true,null,false,0,false
"2015-06-19T07:02:36Z","1129081105","iOS 8.3 (iPhone6,2)",29396,"CH","178.197.224.214","unknown","Cheerleader (Felix Jaehn Remix) - Radio Edit","OMI","Cheerleader","spotify:track:6fQcqEcXfnY0L6VwS0c3gT",null,null,null,"trackdone","fwdbtn",true,true,false,0,false
"2015-07-18T13:48:31Z","1129081105","iOS 8.4 (iPhone6,2)",186818,"CH","178.197.235.44","unknown","Fuck Forever","Scooter","The Fifth Chapter (SPY Version)","spotify:track:3E9x5m43qDnlmCUBBpIacu",null,null,null,"clickrow","trackdone",true,false,false,0,false
"2016-12-08T04:09:44Z","1129081105","iOS 10.0.2 (iPhone7,2)",148573,"US","50.243.17.158","unknown","What's My Age Again?","blink-182","Enema Of The State","spotify:track:1hWrl3T1kIH5b9zRHLfCOn",null,null,null,"trackdone","trackdone",true,null,true,1,false
"2014-02-21T11:06:20Z","1129081105","iOS 7.0.4 (iPhone5,2)",195049,"CH","178.197.225.197","unknown","BOW! (You Gotta Kick It) - Single Version","très jolie","BOW! (You Gotta Kick It)","spotify:track:6qSQ5XaZcHKkfaycydWjfx",null,null,null,"trackdone","trackdone",true,false,false,0,false
"2019-01-11T15:44:58Z","1129081105","iOS 12.1.2 (iPhone8,1)",107917,"CH","178.197.233.112","unknown","Arrest The President","Ice Cube","Everythangs Corrupt","spotify:track:3Oj5f6XETShvp2xknJyGMf",null,null,null,"trackdone","endplay",false,null,false,1547221266988,false
"2022-03-18T14:28:25Z","1129081105","iOS 15.3.1 (iPhone13,1)",173499,"CH","178.197.204.12","unknown","The Way to Your Heart","Soulsister","The Way To Your Heart - The Very Best Of Soulsister","spotify:track:0DUtmZD5TK6JwChuMql5ac",null,null,null,"fwdbtn","fwdbtn",true,null,false,1647613531354,false
"2018-12-16T20:24:38Z","1129081105","OS X 10.14.1 [x86 8]",217586,"CH","176.127.151.26","unknown","X Gon' Give It To Ya","DMX","The Definition Of X: Pick Of The Litter","spotify:track:1zzxoZVylsna2BQB65Ppcb",null,null,null,"trackdone","trackdone",false,null,false,1544891557485,false
"2015-02-02T12:58:55Z","1129081105","iOS 8.1.3 (iPhone6,2)",3017,"CH","178.197.226.232","unknown","Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta","Listen","spotify:track:285HeuLxsngjFn4GGegGNm",null,null,null,"fwdbtn","fwdbtn",true,true,false,0,false
"2015-03-11T17:11:48Z","1129081105","OS X 11.0.2 [x86 8]",187320,"DE","80.147.100.138","unknown","Never Miss A Beat","Kaiser Chiefs","Off With Their Heads","spotify:track:0bXhjlgUddDlJzHOeVM4Tq",null,null,null,"trackdone","trackdone",false,false,false,0,false
"2012-09-06T05:29:28Z","1129081105","iOS 5.1.1 (iPhone3,1)",198906,"CH","178.197.233.55","unknown","Stacy's Mom","Fountains Of Wayne","Stacy's Mom","spotify:track:7pdXZ3zwuPpawzP79w9xRZ",null,null,null,"","trackdone",false,false,false,0,false
"2021-05-11T05:39:41Z","1129081105","iOS 14.5.1 (iPhone13,1)",303920,"CH","178.197.233.225","unknown","Blurry","Puddle Of Mudd","Come Clean","spotify:track:0FLBNqc5oAiTt4J2e3fe3y",null,null,null,"fwdbtn","trackdone",false,null,false,1620711277027,false
"2014-05-02T14:58:16Z","1129081105","iOS 7.1.1 (iPhone5,2)",162840,"CH","178.192.111.185","unknown","Ring Of Fire","Johnny Cash","This Is The Sound Of...Johnny Cash","spotify:track:0KeWALTjScYDd3vx1Z1MfW",null,null,null,"trackdone","trackdone",true,false,false,0,false
"2012-05-13T11:36:55Z","1129081105","OS X 10.7.4 [x86 4]",22920,"CH","84.72.36.80",null,"Mon Cheri","The Georgia Satellites","Let It Rock...Best Of Georgia Satellites","spotify:track:7xzQPH2HDL772GsdSmcL0o",null,null,null,"popup","popup",false,true,false,0,false
"2012-11-18T16:30:58Z","1129081105","OS X 10.7.4 [x86 4]",143226,"CH","84.72.36.80","unknown","Angels With Dirty Faces","Sum 41","Chuck","spotify:track:5QbJFBzwRZjIRKBYSegVVv",null,null,null,"trackdone","trackdone",true,false,false,0,false
"2019-06-15T20:05:48Z","1129081105","iOS 12.2 (iPhone8,1)",239070,"CH","85.2.10.59","unknown","Twilight Of The Thundergod - Bonus Track","Sabaton","Carolus Rex","spotify:track:69PzyqocEElgNA4YkWfWuo",null,null,null,"trackdone","trackdone",false,null,false,1560628908124,false
"2012-07-12T14:22:36Z","1129081105","iOS 5.1.1 (iPhone3,1)",1857,"CH","178.197.232.37","unknown","Got 2 Luv U (feat. Alexis Jordan)","Sean Paul","Got 2 Luv U (feat. Alexis Jordan)","spotify:track:7ha7zYOryB0rpnMTa4S75U",null,null,null,"fwdbtn","fwdbtn",true,true,false,0,false
"2021-04-10T08:42:48Z","1129081105","iOS 14.4.2 (iPhone9,3)",77589,"CH","178.197.233.204","unknown","Unstoppable","Sia","This Is Acting","spotify:track:059ACLUOyEcdruA2m9f2jd",null,null,null,"appload","endplay",false,null,false,1617809119838,false
"2012-06-10T08:50:33Z","1129081105","iOS 5.1.1 (iPhone3,1)",171866,"CH","84.72.36.80",null,"Judy In Disguise (With Glasses)","John Fred and His Playboy Band","One Hit Wonders - Vol. 3","spotify:track:1IdOSNQ4TF1rNtXaHWl4qY",null,null,null,"trackdone","trackdone",true,false,false,0,false
"2014-02-15T18:52:56Z","1129081105","OS X 10.9.1 [x86 4]",20215,"CH","178.197.224.77","unknown","Taking It Back - Extended Mix","John De Sohn","Taking It Back","spotify:track:0ANzIaTAM946CQQOxnjOat",null,null,null,"fwdbtn","fwdbtn",false,true,false,0,false
"2021-07-02T07:31:36Z","1129081105","iOS 14.6 (iPhone13,1)",208176,"ET","197.156.117.57","unknown","Ihr habt meinen Segen","Faber","I fucking love my life","spotify:track:3CQhvsj9uYVR5Me05ZvPBC",null,null,null,"trackdone","trackdone",false,null,true,1625174044168,false
"2017-08-19T15:40:29Z","1129081105","iOS 10.3.3 (iPhone7,2)",194590,"CH","178.197.232.82","unknown","Fake My Own Death","Sum 41","13 Voices","spotify:track:5dcHKKPLXJJVE4HcVefdOI",null,null,null,"trackdone","trackdone",false,null,false,1503157033450,false
"2017-09-09T21:17:46Z","1129081105","iOS 10.3.3 (iPhone7,2)",276213,"CH","178.197.228.222","unknown","Before and After","Lyrics Born","Later That Day...","spotify:track:0U6Rolz9wr2tAkVPKUKNU5",null,null,null,"trackdone","trackdone",false,null,false,1504991589279,false
"2018-11-17T12:21:11Z","1129081105","iOS 12.1 (iPhone8,1)",388266,"CH","178.197.225.49","unknown","Nothing Else Matters","Metallica","Metallica","spotify:track:0nLiqZ6A27jJri2VCalIUs",null,null,null,"clickrow","trackdone",false,null,false,1542456883751,false
"2012-09-23T19:20:48Z","1129081105","OS X 10.7.4 [x86 4]",52371,"CH","84.72.36.80","unknown","Celebrated Summer","Hüsker Dü","New Day Rising","spotify:track:1Aw5JwUUQ3tW1BpoD5C17o",null,null,null,"trackdone","popup",true,true,false,0,false
"2013-12-30T14:36:27Z","1129081105","iOS 7.0.4 (iPhone5,2)",2554,"CH","178.197.236.135","unknown","Nowhere to Run","Martha Reeves & The Vandellas","Martha Reeves & The Vandellas","spotify:track:6tItiCfHvdcbTXWToSwmOr",null,null,null,"","",false,true,false,0,false
"2012-06-15T15:43:46Z","1129081105","iOS 5.1.1 (iPhone3,1)",64505,"CH","178.197.233.67",null,"Jackson","Johnny Cash","Discover Johnny Cash","spotify:track:1RyyiFdUmhwYlk7TuojdZ3",null,null,null,"trackdone","fwdbtn",true,true,false,0,false
"2016-11-22T19:03:53Z","1129081105","iOS 10.0.2 (iPhone7,2)",1068,"US","66.191.25.8","unknown","Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix","M.O.P.","Warriorz","spotify:track:5osSw3tL07Tuid7AWsvYcc",null,null,null,"fwdbtn","backbtn",true,null,true,1,false
"2015-03-31T16:30:12Z","1129081105","iOS 8.1.3 (iPhone6,2)",200724,"CH","178.197.228.100","unknown","Friends Turbo","Scooter","20 Years of Hardcore","spotify:track:2gFstBazrQEW6vgdd3JE9I",null,null,null,"trackdone","trackdone",true,false,false,0,false
"2014-01-03T20:15:42Z","1129081105","iOS 7.0.4 (iPhone5,2)",124087,"CH","178.197.236.147","unknown","Wild Child (feat. J.J.) - Extended Mix","Adrian Lux","Wild Child (feat. J.J.)","spotify:track:4dCroPiYKqyn0Y6XMSDfYu",null,null,null,"trackdone","fwdbtn",true,true,false,0,true
"2021-06-21T15:26:29Z","1129081105","iOS 14.6 (iPhone13,1)",208226,"CH","178.197.236.23","unknown","Soy Un Don","Juan Magán","Quiero Que Sepas","spotify:track:7toR0V2tWDjzMPSUOqITjv",null,null,null,"trackdone","trackdone",false,null,false,1624288980363,false
"2015-01-29T07:36:54Z","1129081105","iOS 8.1.2 (iPhone6,2)",177539,"CH","178.197.232.12","unknown","The Worst Hangover Ever","The Offspring","Splinter","spotify:track:3vVbA47prZXLNkxL8jXeht",null,null,null,"trackdone","trackdone",false,false,false,0,false
"2012-09-13T16:26:52Z","1129081105","OS X 10.7.4 [x86 4]",67978,"CH","178.197.233.27","unknown","First of the Year (Equinox)","Skrillex","More Monsters and Sprites EP","spotify:track:5i7fZq3chLyCHo3VeB6goD",null,null,null,"trackdone","fwdbtn",true,true,false,0,false
"2020-03-13T14:55:44Z","1129081105","iOS 13.3.1 (iPhone9,3)",20801,"CH","178.197.234.58","unknown","X Gon' Give It To Ya","DMX","The Definition Of X: Pick Of The Litter","spotify:track:1zzxoZVylsna2BQB65Ppcb",null,null,null,"trackdone","endplay",true,null,false,1584111321792,false
"2014-03-15T11:42:01Z","1129081105","WebPlayer (websocket RFC6455)",232514,"CH","178.192.98.35","Mozilla%2f5.0%20(Macintosh%3b%20Intel%20Mac%20OS%20X%2010%5f9%5f1)%20AppleWebKit%2f537.73.11%20(KHTML,%20like%20Gecko)%20Version%2f7.0.1%20Safari%2f537.73.11","La Grange - 1999 Remaster","ZZ Top","Rancho Texicano: The Very Best of ZZ Top","spotify:track:0FMhMAFPLg8EljnROSoVnj",null,null,null,"clickrow","clickrow",false,false,false,0,false
"2014-01-21T09:22:03Z","1129081105","iOS 7.0.4 (iPhone5,2)",316693,"CH","178.197.237.60","unknown","Damaged","Adrian Lux","Damaged","spotify:track:2zMY1gFUEGft0sDwywSCW1",null,null,null,"fwdbtn","trackdone",true,false,false,0,false
"2022-09-11T09:43:27Z","1129081105","iOS 15.6 (iPhone13,1)",309973,"CH","178.197.225.31","unknown","For Whom The Bell Tolls - Remastered","Metallica","Ride The Lightning","spotify:track:2dXsILW8gzkosqleHAvl0v",null,null,null,"trackdone","trackdone",true,null,false,1662889096048,false
"2015-07-31T05:30:10Z","1129081105","iOS 8.4 (iPhone6,2)",224666,"CH","178.197.226.60","unknown","Heute","Die Fantastischen Vier","Rekord","spotify:track:4f6RYmaem8UPIphqLCmkkn",null,null,null,"trackdone","trackdone",false,false,false,0,false
"2015-07-13T16:31:13Z","1129081105","iOS 8.4 (iPhone6,2)",42538,"CH","178.197.227.37","unknown","Revenga","System Of A Down","Mezmerize","spotify:track:577mOFb1LAvSANIUZ4mbQ7",null,null,null,"trackdone","endplay",true,true,false,0,false
"2019-10-05T12:37:45Z","1129081105","iOS 12.4.1 (iPhone9,3)",230408,"FR","80.69.210.151","unknown","Rap wieder Rap","Kollegah","Jung Brutal Gutaussehend XXX","spotify:track:2Sqmawlh2jpp6rlk2VAPyw",null,null,null,"trackdone","trackdone",false,null,false,1570278833512,false
"2014-06-11T18:37:06Z","1129081105","iOS 7.1.1 (iPhone5,2)",149533,"CH","178.197.225.160","unknown","Death To All But Metal","Steel Panther","Feel The Steel","spotify:track:0nZP0oqZMkNtioB109etNn",null,null,null,"clickrow","trackdone",false,false,false,0,false
"2015-01-13T15:49:43Z","1129081105","iOS 8.1.2 (iPhone6,2)",233266,"CH","178.197.227.123","unknown","Bang my Head (feat. Sia)","David Guetta","Listen","spotify:track:3RrQI9knWLdxwuCSKOsmz2",null,null,null,"trackdone","trackdone",true,false,false,0,false
"2017-09-23T17:51:58Z","1129081105","iOS 10.3.3 (iPhone7,2)",302693,"CH","178.197.234.196","unknown","Juicy - 2005 Remaster","The Notorious B.I.G.","Ready to Die","spotify:track:5ByAIlEEnxYdvpnezg7HTX",null,null,null,"trackdone","trackdone",false,null,false,1506188814823,false
"2017-05-18T13:11:30Z","1129081105","Partner ios_sdk Apple;iPhone7.2;1b41c83f9d3f4f61b805277798862a85;10.3.1",214599,"CH","178.197.229.16","unknown","Unter den Wolken","Die Toten Hosen","Laune der Natur Spezialedition mit Learning English Lesson 2","spotify:track:0QjDsAtLPHcD391U6VtxdH",null,null,null,"","",false,false,false,0,false
"2014-11-07T11:20:55Z","1129081105","iOS 8.1 (iPhone5,2)",152740,"CH","178.197.226.85","unknown","Scars","Papa Roach","Getting Away With Murder","spotify:track:2NcNJC2jVccC1kKIxEXsZH",null,null,null,"trackdone","endplay",true,true,false,0,false
"2014-07-21T18:08:33Z","1129081105","iOS 7.1.1 (iPhone5,2)",159492,"CH","178.192.92.217","unknown","Tsunami (Jump) [feat. Tinie Tempah] - Radio Edit","DVBBS","Demonstration","spotify:track:2NFrkgZzweWIiC9tUrjDnx",null,null,null,"","trackdone",false,false,false,0,false
"2018-11-07T19:03:12Z","1129081105","iOS 12.0.1 (iPhone8,1)",156000,"CH","178.197.232.218","unknown","Slim Pickens Does The Right Thing And Rides The Bomb To Hell","The Offspring","Days Go By","spotify:track:1feH81BVs89SplmcJzuh1F",null,null,null,"trackdone","trackdone",true,null,false,1541617234943,false
"2015-08-13T17:20:18Z","1129081105","iOS 8.4 (iPhone6,2)",171933,"CH","178.197.234.255","unknown","Nowhere To Run","Martha Reeves & The Vandellas","The Ultimate Collection: Martha Reeves & The Vandellas","spotify:track:7HfgWt7thTeXAw936XwUJJ",null,null,null,"fwdbtn","trackdone",true,false,false,0,false
"2018-02-17T21:33:37Z","1129081105","iOS 11.2.5 (iPhone8,1)",206093,"CH","62.202.181.41","unknown","Expect No Mercy - 2010 - Remaster","Nazareth","Expect No Mercy","spotify:track:6OiLxJxcikOkQipacyAEnZ",null,null,null,"trackdone","trackdone",false,null,false,1518903009988,false
"2015-02-11T16:25:22Z","1129081105","iOS 8.1.3 (iPhone6,2)",245053,"CH","178.197.226.27","unknown","Titanium (feat. Sia)","David Guetta","Nothing but the Beat","spotify:track:0TDLuuLlV54CkRRUOahJb4",null,null,null,"fwdbtn","trackdone",false,false,false,0,false
"2012-07-12T14:18:55Z","1129081105","iOS 5.1.1 (iPhone3,1)",244826,"CH","178.197.232.37","unknown","Superstition - Single Version","Stevie Wonder","Number Ones","spotify:track:300RfAPZ57B0y6YYj9n6DN",null,null,null,"trackdone","trackdone",false,false,false,0,false
"2014-05-13T19:55:54Z","1129081105","iOS 7.1.1 (iPhone5,2)",0,"CH","178.192.7.205","unknown","Mean Machine","Motörhead","Orgasmatron","spotify:track:57rCgfiSi2dWccBWRVOxCN",null,null,null,"fwdbtn","fwdbtn",true,true,false,0,false
